V,4,3.75,3.5,3.25,3,2.75,2.5,2.25,2,1.75,1.5,1.4,1.3,1.25,1.2,1.15,1.1,1,0.9,0.8,0.7,0.6,0.55,0.5,0.45,0.4,0.35
P (T=35.1),12.4,13.1,14,15,16,17.1,18.6,20.1,21.9,23.8,26,27,27.8,28.2,28.7,28.7,28.8,28.9,29,29,29.1,29.2,29.1,29.2,29.2,29.6,38.5
