V,4,3.75,3.5,3.25,3,2.75,2.5,2.25,2,1.75,1.5,1.4,1.3,1.25,1.2,1.15,1.1,1,0.9,0.8,0.75,0.7,0.65,0.6,0.55,0.5,0.45,0.4,0.39
P=(50.1),13.4,14.2,15,16.1,17.4,18.6,20.2,22,24,26.4,29,30.5,31.8,32.5,33,33.9,34.5,36,37.4,38.5,39,39.5,40,40.2,40.7,41.2,42.3,48,49.3
