V,4,3.75,3.5,3.25,3,2.75,2.5,2.25,2,1.75,1.5,1.25,1,0.75,0.7,0.65,0.6,0.55,0.5,0.45,0.4
T=54,13.5,14.5,15.2,16.5,17.7,19.1,20.8,22.4,24.6,27.1,30,33.5,37.4,41.5,42.1,42.4,43.2,44.2,45.1,47.5,
