V,4,3.75,3.5,3.25,3,2.75,2.5,2.25,2,1.75,1.5,1.4,1.3,1.2,1.1,1,1.05,0.95,0.9,0.85,0.8,0.7,0.6,0.5,0.45,0.4,0.35
T=40.1,12.7,13.5,14.4,15.4,16.5,17.7,19.2,20.9,22.6,24.8,27.2,28.1,29.2,30.2,31.1,32,31.6,32.2,32.4,32.4,32.5,32.6,33,33,33.1,33.8,50
T2=40.1,12.8,13.6,14.3,15.2,16.4,17.7,19.2,20.9,22.6,24.9,27.1,28.2,29.1,30.2,31.2,32.1,31.4,32.4,32.5,32.6,32.6,32.6,32.7,33.2,33.4,34,50
