V,4,3.75,3.5,3.25,3,2.75,2.5,2.25,2,1.9,1.85,1.8,1.75,1.7,1.65,1.6,1.5,1.25,1,0.75,0.6,0.55,0.5,0.45,0.4,0.35,0.31
P (T=22.4),11.5,12.2,13,14,14.8,16,17,18.5,20,20.5,21,21.4,21.4,21.5,21.5,21.5,21.5,21.8,21.8,21.8,22,22,22,22.3,23.5,24.5,43.5
T=22.7,11.6,12.3,13.1,14,15,16,17.2,18.6,20.1,20.6,21,21.4,21.5,21.6,21.6,21.6,21.7,21.9,22,22.1,22.3,22.3,22.3,22.4,23,24.1,48
